date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18
01/07/2019 15:18,0.996907493,24.78698869,25.25674756,25.95194401,25.99999144,23.428,23.956,24,21.935,22,20
01/07/2019 15:24,0.995361239,24.78789823,25.10690725,25.95196545,25.99999145,23.428,23.956,24,21.934,22,20
01/07/2019 15:30,0.993814985,24.78907901,25.10227514,25.95199322,25.99999148,23.429,23.956,24,21.935,22,20
01/07/2019 15:36,0.992268731,25.25838515,25.51595111,25.95202861,25.99999151,23.429,23.956,24,21.934,22,20
01/07/2019 15:42,0.990722478,25.2794669,25.25850826,25.95207258,25.99999154,23.43,23.956,24,21.934,22,20
01/07/2019 15:48,0.989176224,25.28002794,25.15251632,25.95212651,25.99999159,23.43,23.956,24,21.935,22,20
01/07/2019 15:54,0.98762997,24.83974922,25.10167312,25.95219059,25.99999165,23.43,23.956,24,21.935,22,20
01/07/2019 16:00,0.986083716,24.5277335,25.66200338,25.95225783,25.9999917,23.43,23.956,24,21.935,22,20
01/07/2019 16:06,0.984537463,24.77503796,25.18480948,25.95224457,25.9999917,23.431,23.956,24,21.935,22,20
01/07/2019 16:12,0.982031918,24.89294233,25.75367794,25.9522362,25.99999169,23.43,23.956,24,21.935,22,20
01/07/2019 16:18,0.979526373,24.98273555,25.24039414,25.95223306,25.99999168,23.431,23.956,24,21.935,22,20
01/07/2019 16:24,0.977020828,25.58352269,25.56897534,25.99805611,25.99999169,23.43,23.956,24,21.935,22,20
01/07/2019 16:30,0.974515283,24.69382628,25.21015688,25.98906685,25.9999917,23.431,23.956,24,21.935,22,20
01/07/2019 16:36,0.972009738,24.83048581,25.53492895,25.99999434,25.99999172,23.431,23.956,24,21.935,22,20
01/07/2019 16:42,0.969504193,24.36573042,25.32190882,25.97746673,25.99999174,23.431,23.956,24,21.935,22,20
01/07/2019 16:48,0.966998648,24.93285358,25.31544614,25.99999942,25.99999176,23.432,23.956,24,21.935,22,20
01/07/2019 16:54,0.964493103,24.44204246,25.30454311,25.98265823,25.99999182,23.432,23.956,24,21.935,22,20
01/07/2019 17:00,0.961987558,25.38112991,25.29988497,25.98289721,25.99999185,23.433,23.956,24,21.936,22,20
01/07/2019 17:06,0.959482013,24.78949968,25.29287155,25.99027403,25.99999173,23.431,23.956,24,21.935,22,20
01/07/2019 17:12,0.954881975,25.34274406,25.29220427,25.98325432,25.99999159,23.43,23.956,24,21.935,22,20
01/07/2019 17:18,0.950281937,24.65178643,25.28983572,25.98309303,25.99999145,23.429,23.956,24,21.935,22,20
01/07/2019 17:24,0.945681899,24.7065486,25.28167817,25.98634343,25.99999127,23.427,23.956,24,21.935,22,20
01/07/2019 17:30,0.941081861,25.56952193,25.28128042,25.98619626,25.99999109,23.425,23.956,24,21.935,22,20
01/07/2019 17:36,0.936481822,25.36671117,25.28200093,25.98402717,25.99999087,23.424,23.956,24,21.935,22,20
01/07/2019 17:42,0.931881784,25.15991106,25.26044914,25.98380706,25.99999062,23.423,23.956,24,21.935,22,20
01/07/2019 17:48,0.927281746,24.90521226,25.25691614,25.98355641,25.99999034,23.419,23.956,24,21.935,22,20
01/07/2019 17:54,0.922681708,24.89724324,25.24878174,25.98327074,25.99999,23.418,23.956,24,21.935,22,20
01/07/2019 18:00,0.91808167,24.89031968,25.24161904,25.98296653,25.99998964,23.415,23.956,24,21.935,22,20
01/07/2019 18:06,0.913481631,24.8869081,25.24900323,25.98878388,25.99998952,23.414,23.956,24,21.935,22,20
01/07/2019 18:12,0.911113104,24.8820484,25.23666345,25.9845407,25.99998939,23.413,23.956,24,21.935,22,20
01/07/2019 18:18,0.908744576,24.8762724,25.2482868,25.98457842,25.99998921,23.412,23.957,24,21.936,22,20
01/07/2019 18:24,0.906376048,24.87459034,25.23712236,25.98443502,25.99998903,23.412,23.957,24,21.935,22,20
01/07/2019 18:30,0.904007521,24.86912724,25.23796434,25.98995745,25.99998882,23.411,23.957,24,21.935,22,20
01/07/2019 18:36,0.901638993,24.86420912,25.2224724,25.99040247,25.99998858,23.411,23.957,24,21.936,22,20
01/07/2019 18:42,0.899270465,24.86121199,25.2271308,25.9908319,25.99998828,23.408,23.957,24,21.935,22,20
01/07/2019 18:48,0.896901937,24.84836654,25.23151755,25.99053638,25.99998796,23.407,23.957,24,21.935,22,20
01/07/2019 18:54,0.89453341,24.84462943,25.20225022,25.99990837,25.99998754,23.406,23.957,24,21.936,22,20
01/07/2019 19:00,0.892164882,24.83951506,25.19251865,25.99990587,25.99998719,23.404,23.957,24,21.936,22,20
01/07/2019 19:06,0.889796354,24.83737794,25.22502373,25.99992796,25.99998736,23.404,23.957,24,21.935,22,20
01/07/2019 19:12,0.890716347,24.84255055,25.22999573,25.99995996,25.99998759,23.407,23.957,24,21.935,22,20
01/07/2019 19:18,0.89163634,24.84326514,25.21547741,25.9999601,25.99998777,23.407,23.957,24,21.935,22,20
01/07/2019 19:24,0.892556332,24.84884625,25.2114805,25.99153723,25.99998802,23.408,23.957,24,21.935,22,20
01/07/2019 19:30,0.893476325,24.85403728,25.21803703,25.99250054,25.99998828,23.408,23.957,24,21.936,22,20
01/07/2019 19:36,0.894396318,24.865944,25.22220953,25.99999611,25.99998857,23.41,23.957,24,21.935,22,20
01/07/2019 19:42,0.89531631,24.86852572,25.2250955,25.99999599,25.99998887,23.411,23.957,24,21.936,22,20
01/07/2019 19:48,0.896236303,24.87839774,25.22776116,25.98415964,25.99998918,23.412,23.957,24,21.935,22,20
01/07/2019 19:54,0.897156296,24.88854971,25.24916166,25.9845902,25.99998952,23.415,23.957,24,21.935,22,20
01/07/2019 20:00,0.898076289,24.89267266,25.25173879,25.9850184,25.99998984,23.417,23.956,24,21.935,22,20
01/07/2019 20:06,0.898996281,24.89136943,25.25531147,25.98512228,25.99998983,23.417,23.957,24,21.935,22,20
01/07/2019 20:12,0.897019257,24.89290356,25.25596327,25.98452423,25.99998982,23.416,23.956,24,21.936,22,20
01/07/2019 20:18,0.895042233,24.89330392,25.24811649,25.97407941,25.99998981,23.417,23.957,24,21.935,22,20
01/07/2019 20:24,0.893065209,24.89720625,25.26682718,25.97410112,25.99998982,23.416,23.956,24,21.935,22,20
01/07/2019 20:30,0.891088185,24.89732952,25.25029882,25.99191154,25.99998983,23.417,23.957,24,21.936,22,20
01/07/2019 20:36,0.889111161,24.89841883,25.25841972,25.99088618,25.99998983,23.417,23.956,24,21.935,22,20
01/07/2019 20:42,0.887134138,24.89829386,25.25127514,25.99245214,25.99998986,23.417,23.957,24,21.935,22,20
01/07/2019 20:48,0.885157114,24.89810183,25.2537886,25.98432367,25.99998989,23.416,23.957,24,21.935,22,20
01/07/2019 20:54,0.88318009,24.89785929,25.25302059,25.98456078,25.99998996,23.418,23.956,24,21.935,22,20
01/07/2019 21:00,0.881203066,24.90299573,25.24788637,25.98483563,25.99999001,23.419,23.956,24,21.935,22,20
01/07/2019 21:06,0.879226042,24.89737302,25.25493713,25.9851385,25.99998997,23.418,23.956,24,21.935,22,20
01/07/2019 21:12,0.87646601,24.89725673,25.25581895,25.98600111,25.99998994,23.418,23.956,24,21.935,22,20
01/07/2019 21:18,0.873705979,24.89804232,25.25596964,25.99031991,25.99998994,23.418,23.956,24,21.935,22,20
01/07/2019 21:24,0.870945947,24.89661076,25.24826729,25.99041483,25.99998993,23.417,23.957,24,21.935,22,20
01/07/2019 21:30,0.868185916,24.89826582,25.26167271,25.99997743,25.99998993,23.418,23.957,24,21.935,22,20
01/07/2019 21:36,0.865425884,24.90095187,25.25169215,25.98560963,25.99998995,23.417,23.957,24,21.935,22,20
01/07/2019 21:42,0.862665853,24.90172394,25.2581253,25.98615302,25.99998996,23.418,23.957,24,21.936,22,20
01/07/2019 21:48,0.859905821,24.90255904,25.25858538,25.98674812,25.99999,23.418,23.957,24,21.936,22,20
01/07/2019 21:54,0.85714579,24.90376745,25.25018327,25.98735039,25.99999006,23.418,23.957,24,21.935,22,20
01/07/2019 22:00,0.854385759,24.90624859,25.26285346,25.98757562,25.99999011,23.418,23.957,24,21.936,22,20
01/07/2019 22:06,0.851625727,24.90200076,25.25503998,25.98164296,25.99999003,23.419,23.957,24,21.935,22,20
01/07/2019 22:12,0.847554199,24.90465347,25.25441139,25.99965605,25.99998996,23.418,23.956,24,21.936,22,20
01/07/2019 22:18,0.843482671,24.89669654,25.25387981,25.99965524,25.99998989,23.417,23.957,24,21.935,22,20
01/07/2019 22:24,0.839411144,24.89576936,25.24577174,25.99718831,25.99998978,23.417,23.957,24,21.935,22,20
01/07/2019 22:30,0.835339616,24.89402513,25.25123906,25.99994459,25.99998973,23.417,23.957,24,21.935,22,20
01/07/2019 22:36,0.831268088,24.89491984,25.25193105,25.99990024,25.99998966,23.417,23.957,24,21.936,22,20
01/07/2019 22:42,0.82719656,24.89121728,25.24211901,25.99990703,25.99998959,23.415,23.957,24,21.935,22,20
01/07/2019 22:48,0.823125032,24.89369931,25.25657017,25.99990574,25.99998955,23.415,23.957,24,21.936,22,20
01/07/2019 22:54,0.819053504,24.897395,25.26077064,25.99479039,25.99998949,23.415,23.957,24,21.935,22,20
01/07/2019 23:00,0.814981976,24.89176923,25.25220674,25.98369248,25.99998944,23.416,23.957,24,21.935,22,20
