date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18,
01/07/2019 16:48,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:54,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:00,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:06,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:12,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:18,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:24,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:30,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:36,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:42,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:48,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 17:54,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:00,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:06,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:12,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:18,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:24,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:30,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:36,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:42,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:48,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 18:54,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:00,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:06,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:12,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:18,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:24,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:30,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:36,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:42,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:48,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 19:54,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:00,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:06,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:12,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:18,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:24,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:30,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:36,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:42,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:48,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 20:54,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:00,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
